Value,lulcc,lu_T1,lu_T2,lc_T1,lc_T2,general_T1,general_T2,macro_T1,macro_T2
1160,Lakes and Reservoirs to Terrene Wetlands Barren,Lakes and Reservoirs,Terrene Wetlands,Water,Barren,Water,"Wetlands, Terrene Non-forested",Water,Natural
1161,Lakes and Reservoirs to Terrene Wetlands Herbaceous,Lakes and Reservoirs,Terrene Wetlands,Water,Low Vegetation,Water,"Wetlands, Terrene Non-forested",Water,Natural
1163,Lakes and Reservoirs to Terrene Wetlands Forested Other,Lakes and Reservoirs,Terrene Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1164,Lakes and Reservoirs to Terrene Wetlands Forest,Lakes and Reservoirs,Terrene Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1171,Lakes and Reservoirs to Tidal Wetlands Herbaceous,Lakes and Reservoirs,Tidal Wetlands,Water,Low Vegetation,Water,"Wetlands, Tidal Non-forested",Water,Natural
1173,Lakes and Reservoirs to Tidal Wetlands Forested Other,Lakes and Reservoirs,Tidal Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1174,Lakes and Reservoirs to Tidal Wetlands Forest,Lakes and Reservoirs,Tidal Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1181,Lakes and Reservoirs to Cropland Herbaceous,Lakes and Reservoirs,Cropland,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1186,Lakes and Reservoirs to Pasture and Hay Herbaceous,Lakes and Reservoirs,Pasture and Hay,Water,Low Vegetation,Water,Pasture and Hay,Water,Agricultural
1215,Riverine Ponds to Bare Shore,Riverine Ponds,Bare Shore,Water,Barren,Water,Natural Succession,Water,Natural
1220,Riverine Ponds to Roads,Riverine Ponds,Roads,Water,Impervious Roads,Water,Impervious Roads,Water,Developed
1221,Riverine Ponds to Structures,Riverine Ponds,Structures,Water,Impervious Structures,Water,Impervious Structures,Water,Developed
1222,Riverine Ponds to Other Impervious,Riverine Ponds,Other Impervious,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1224,Riverine Ponds to Tree Canopy Over Structures,Riverine Ponds,Tree Canopy Over Structures,Water,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed
1225,Riverine Ponds to Tree Canopy Over Other Impervious,Riverine Ponds,Tree Canopy Over Other Impervious,Water,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed
1226,Riverine Ponds to Tree Canopy Over Turf Grass,Riverine Ponds,Tree Canopy Over Turf,Water,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed
1227,Riverine Ponds to Turf Grass,Riverine Ponds,Turf,Water,Low Vegetation,Water,Turf Grass,Water,Developed
1228,Riverine Ponds to Bare Developed,Riverine Ponds,Developed,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1230,Riverine Ponds to Extractive Barren,Riverine Ponds,Extractive,Water,Barren,Water,Extractive,Water,Developed
1231,Riverine Ponds to Extractive Impervious,Riverine Ponds,Extractive,Water,Other Impervious,Water,Extractive,Water,Developed
1232,Riverine Ponds to Solar Field Panel Arrays,Riverine Ponds,Solar Field,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1234,Riverine Ponds to Solar Field Herbaceous,Riverine Ponds,Solar Field,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1236,Riverine Ponds to Suspended Succession Barren,Riverine Ponds,Suspended Succession,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1237,Riverine Ponds to Suspended Succession Herbaceous,Riverine Ponds,Suspended Succession,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1238,Riverine Ponds to Suspended Succession Shrubland,Riverine Ponds,Suspended Succession,Water,Shrubland,Water,"Pervious Developed, Other",Water,Developed
1240,Riverine Ponds to Forest,Riverine Ponds,Forest,Water,Tree Canopy,Water,Forest,Water,Natural
1241,Riverine Ponds to Forested Other,Riverine Ponds,Forested Other,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1242,Riverine Ponds to Natural Succession Barren,Riverine Ponds,Natural Succession,Water,Barren,Water,Natural Succession,Water,Natural
1243,Riverine Ponds to Natural Succession Herbaceous,Riverine Ponds,Natural Succession,Water,Low Vegetation,Water,Natural Succession,Water,Natural
1244,Riverine Ponds to Natural Succession Shrubland,Riverine Ponds,Natural Succession,Water,Shrubland,Water,Natural Succession,Water,Natural
1245,Riverine Ponds to Harvested Forest Barren,Riverine Ponds,Harvested Forest,Water,Barren,Water,Harvested Forest,Water,Natural
1246,Riverine Ponds to Harvested Forest Herbaceous,Riverine Ponds,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1250,Riverine Ponds to Riverine Wetlands Barren,Riverine Ponds,Riverine Wetlands,Water,Barren,Water,"Wetlands, Riverine Non-forested",Water,Natural
1251,Riverine Ponds to Riverine Wetlands Herbaceous,Riverine Ponds,Riverine Wetlands,Water,Low Vegetation,Water,"Wetlands, Riverine Non-forested",Water,Natural
1252,Riverine Ponds to Riverine Wetlands Shrubland,Riverine Ponds,Riverine Wetlands,Water,Shrubland,Water,"Wetlands, Riverine Non-forested",Water,Natural
1253,Riverine Ponds to Riverine Wetlands Forested Other,Riverine Ponds,Riverine Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1254,Riverine Ponds to Riverine Wetlands Forest,Riverine Ponds,Riverine Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1255,Riverine Ponds to Riverine Wetlands Harvested Forest,Riverine Ponds,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1261,Riverine Ponds to Terrene Wetlands Herbaceous,Riverine Ponds,Terrene Wetlands,Water,Low Vegetation,Water,"Wetlands, Terrene Non-forested",Water,Natural
1262,Riverine Ponds to Terrene Wetlands Shrubland,Riverine Ponds,Terrene Wetlands,Water,Shrubland,Water,"Wetlands, Terrene Non-forested",Water,Natural
1263,Riverine Ponds to Terrene Wetlands Forested Other,Riverine Ponds,Terrene Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1264,Riverine Ponds to Terrene Wetlands Forest,Riverine Ponds,Terrene Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1270,Riverine Ponds to Tidal Wetlands Barren,Riverine Ponds,Tidal Wetlands,Water,Barren,Water,"Wetlands, Tidal Non-forested",Water,Natural
1271,Riverine Ponds to Tidal Wetlands Herbaceous,Riverine Ponds,Tidal Wetlands,Water,Low Vegetation,Water,"Wetlands, Tidal Non-forested",Water,Natural
1272,Riverine Ponds to Tidal Wetlands Shrubland,Riverine Ponds,Tidal Wetlands,Water,Shrubland,Water,"Wetlands, Tidal Non-forested",Water,Natural
1273,Riverine Ponds to Tidal Wetlands Forested Other,Riverine Ponds,Tidal Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1274,Riverine Ponds to Tidal Wetlands Forest,Riverine Ponds,Tidal Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1280,Riverine Ponds to Cropland Barren,Riverine Ponds,Cropland,Water,Barren,Water,Cropland,Water,Agricultural
1281,Riverine Ponds to Cropland Herbaceous,Riverine Ponds,Cropland,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1283,Riverine Ponds to Orchards and Vineyards Herbaceous,Riverine Ponds,Orchards and Vineyards,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1285,Riverine Ponds to Pasture and Hay Barren,Riverine Ponds,Pasture and Hay,Water,Barren,Water,Pasture and Hay,Water,Agricultural
1286,Riverine Ponds to Pasture and Hay Herbaceous,Riverine Ponds,Pasture and Hay,Water,Low Vegetation,Water,Pasture and Hay,Water,Agricultural
1320,Terrene Ponds to Roads,Terrene Ponds,Roads,Water,Impervious Roads,Water,Impervious Roads,Water,Developed
1321,Terrene Ponds to Structures,Terrene Ponds,Structures,Water,Impervious Structures,Water,Impervious Structures,Water,Developed
1322,Terrene Ponds to Other Impervious,Terrene Ponds,Other Impervious,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1324,Terrene Ponds to Tree Canopy Over Structures,Terrene Ponds,Tree Canopy Over Structures,Water,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed
1325,Terrene Ponds to Tree Canopy Over Other Impervious,Terrene Ponds,Tree Canopy Over Other Impervious,Water,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed
1326,Terrene Ponds to Tree Canopy Over Turf Grass,Terrene Ponds,Tree Canopy Over Turf,Water,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed
1327,Terrene Ponds to Turf Grass,Terrene Ponds,Turf,Water,Low Vegetation,Water,Turf Grass,Water,Developed
1328,Terrene Ponds to Bare Developed,Terrene Ponds,Developed,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1330,Terrene Ponds to Extractive Barren,Terrene Ponds,Extractive,Water,Barren,Water,Extractive,Water,Developed
1331,Terrene Ponds to Extractive Impervious,Terrene Ponds,Extractive,Water,Other Impervious,Water,Extractive,Water,Developed
1333,Terrene Ponds to Solar Field Barren,Terrene Ponds,Solar Field,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1334,Terrene Ponds to Solar Field Herbaceous,Terrene Ponds,Solar Field,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1336,Terrene Ponds to Suspended Succession Barren,Terrene Ponds,Suspended Succession,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1337,Terrene Ponds to Suspended Succession Herbaceous,Terrene Ponds,Suspended Succession,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1338,Terrene Ponds to Suspended Succession Shrubland,Terrene Ponds,Suspended Succession,Water,Shrubland,Water,"Pervious Developed, Other",Water,Developed
1340,Terrene Ponds to Forest,Terrene Ponds,Forest,Water,Tree Canopy,Water,Forest,Water,Natural
1341,Terrene Ponds to Forested Other,Terrene Ponds,Forested Other,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1342,Terrene Ponds to Natural Succession Barren,Terrene Ponds,Natural Succession,Water,Barren,Water,Natural Succession,Water,Natural
1343,Terrene Ponds to Natural Succession Herbaceous,Terrene Ponds,Natural Succession,Water,Low Vegetation,Water,Natural Succession,Water,Natural
1344,Terrene Ponds to Natural Succession Shrubland,Terrene Ponds,Natural Succession,Water,Shrubland,Water,Natural Succession,Water,Natural
1345,Terrene Ponds to Harvested Forest Barren,Terrene Ponds,Harvested Forest,Water,Barren,Water,Harvested Forest,Water,Natural
1346,Terrene Ponds to Harvested Forest Herbaceous,Terrene Ponds,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1350,Terrene Ponds to Riverine Wetlands Barren,Terrene Ponds,Riverine Wetlands,Water,Barren,Water,"Wetlands, Riverine Non-forested",Water,Natural
1351,Terrene Ponds to Riverine Wetlands Herbaceous,Terrene Ponds,Riverine Wetlands,Water,Low Vegetation,Water,"Wetlands, Riverine Non-forested",Water,Natural
1352,Terrene Ponds to Riverine Wetlands Shrubland,Terrene Ponds,Riverine Wetlands,Water,Shrubland,Water,"Wetlands, Riverine Non-forested",Water,Natural
1353,Terrene Ponds to Riverine Wetlands Forested Other,Terrene Ponds,Riverine Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1354,Terrene Ponds to Riverine Wetlands Forest,Terrene Ponds,Riverine Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1355,Terrene Ponds to Riverine Wetlands Harvested Forest,Terrene Ponds,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1360,Terrene Ponds to Terrene Wetlands Barren,Terrene Ponds,Terrene Wetlands,Water,Barren,Water,"Wetlands, Terrene Non-forested",Water,Natural
1361,Terrene Ponds to Terrene Wetlands Herbaceous,Terrene Ponds,Terrene Wetlands,Water,Low Vegetation,Water,"Wetlands, Terrene Non-forested",Water,Natural
1362,Terrene Ponds to Terrene Wetlands Shrubland,Terrene Ponds,Terrene Wetlands,Water,Shrubland,Water,"Wetlands, Terrene Non-forested",Water,Natural
1363,Terrene Ponds to Terrene Wetlands Forested Other,Terrene Ponds,Terrene Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1364,Terrene Ponds to Terrene Wetlands Forest,Terrene Ponds,Terrene Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1365,Terrene Ponds to Terrene Wetlands Harvested Forest,Terrene Ponds,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1371,Terrene Ponds to Tidal Wetlands Herbaceous,Terrene Ponds,Tidal Wetlands,Water,Low Vegetation,Water,"Wetlands, Tidal Non-forested",Water,Natural
1373,Terrene Ponds to Tidal Wetlands Forested Other,Terrene Ponds,Tidal Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1374,Terrene Ponds to Tidal Wetlands Forest,Terrene Ponds,Tidal Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1380,Terrene Ponds to Cropland Barren,Terrene Ponds,Cropland,Water,Barren,Water,Cropland,Water,Agricultural
1381,Terrene Ponds to Cropland Herbaceous,Terrene Ponds,Cropland,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1383,Terrene Ponds to Orchards and Vineyards Herbaceous,Terrene Ponds,Orchards and Vineyards,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1384,Terrene Ponds to Orchards and Vineyards Shrubland,Terrene Ponds,Orchards and Vineyards,Water,Shrubland,Water,Cropland,Water,Agricultural
1385,Terrene Ponds to Pasture and Hay Barren,Terrene Ponds,Pasture and Hay,Water,Barren,Water,Pasture and Hay,Water,Agricultural
1386,Terrene Ponds to Pasture and Hay Herbaceous,Terrene Ponds,Pasture and Hay,Water,Low Vegetation,Water,Pasture and Hay,Water,Agricultural
1420,Streams and Rivers to Roads,Streams and Rivers,Roads,Water,Impervious Roads,Water,Impervious Roads,Water,Developed
1421,Streams and Rivers to Structures,Streams and Rivers,Structures,Water,Impervious Structures,Water,Impervious Structures,Water,Developed
1422,Streams and Rivers to Other Impervious,Streams and Rivers,Other Impervious,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1425,Streams and Rivers to Tree Canopy Over Other Impervious,Streams and Rivers,Tree Canopy Over Other Impervious,Water,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed
1426,Streams and Rivers to Tree Canopy Over Turf Grass,Streams and Rivers,Tree Canopy Over Turf,Water,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed
1427,Streams and Rivers to Turf Grass,Streams and Rivers,Turf,Water,Low Vegetation,Water,Turf Grass,Water,Developed
1428,Streams and Rivers to Bare Developed,Streams and Rivers,Developed,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1430,Streams and Rivers to Extractive Barren,Streams and Rivers,Extractive,Water,Barren,Water,Extractive,Water,Developed
1431,Streams and Rivers to Extractive Impervious,Streams and Rivers,Extractive,Water,Other Impervious,Water,Extractive,Water,Developed
1436,Streams and Rivers to Suspended Succession Barren,Streams and Rivers,Suspended Succession,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1437,Streams and Rivers to Suspended Succession Herbaceous,Streams and Rivers,Suspended Succession,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1438,Streams and Rivers to Suspended Succession Shrubland,Streams and Rivers,Suspended Succession,Water,Shrubland,Water,"Pervious Developed, Other",Water,Developed
1440,Streams and Rivers to Forest,Streams and Rivers,Forest,Water,Tree Canopy,Water,Forest,Water,Natural
1441,Streams and Rivers to Forested Other,Streams and Rivers,Forested Other,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1442,Streams and Rivers to Natural Succession Barren,Streams and Rivers,Natural Succession,Water,Barren,Water,Natural Succession,Water,Natural
1443,Streams and Rivers to Natural Succession Herbaceous,Streams and Rivers,Natural Succession,Water,Low Vegetation,Water,Natural Succession,Water,Natural
1444,Streams and Rivers to Natural Succession Shrubland,Streams and Rivers,Natural Succession,Water,Shrubland,Water,Natural Succession,Water,Natural
1445,Streams and Rivers to Harvested Forest Barren,Streams and Rivers,Harvested Forest,Water,Barren,Water,Harvested Forest,Water,Natural
1446,Streams and Rivers to Harvested Forest Herbaceous,Streams and Rivers,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1450,Streams and Rivers to Riverine Wetlands Barren,Streams and Rivers,Riverine Wetlands,Water,Barren,Water,"Wetlands, Riverine Non-forested",Water,Natural
1451,Streams and Rivers to Riverine Wetlands Herbaceous,Streams and Rivers,Riverine Wetlands,Water,Low Vegetation,Water,"Wetlands, Riverine Non-forested",Water,Natural
1452,Streams and Rivers to Riverine Wetlands Shrubland,Streams and Rivers,Riverine Wetlands,Water,Shrubland,Water,"Wetlands, Riverine Non-forested",Water,Natural
1453,Streams and Rivers to Riverine Wetlands Forested Other,Streams and Rivers,Riverine Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1454,Streams and Rivers to Riverine Wetlands Forest,Streams and Rivers,Riverine Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1455,Streams and Rivers to Riverine Wetlands Harvested Forest,Streams and Rivers,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1461,Streams and Rivers to Terrene Wetlands Herbaceous,Streams and Rivers,Terrene Wetlands,Water,Low Vegetation,Water,"Wetlands, Terrene Non-forested",Water,Natural
1462,Streams and Rivers to Terrene Wetlands Shrubland,Streams and Rivers,Terrene Wetlands,Water,Shrubland,Water,"Wetlands, Terrene Non-forested",Water,Natural
1463,Streams and Rivers to Terrene Wetlands Forested Other,Streams and Rivers,Terrene Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1464,Streams and Rivers to Terrene Wetlands Forest,Streams and Rivers,Terrene Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1465,Streams and Rivers to Terrene Wetlands Harvested Forest,Streams and Rivers,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1471,Streams and Rivers to Tidal Wetlands Herbaceous,Streams and Rivers,Tidal Wetlands,Water,Low Vegetation,Water,"Wetlands, Tidal Non-forested",Water,Natural
1472,Streams and Rivers to Tidal Wetlands Shrubland,Streams and Rivers,Tidal Wetlands,Water,Shrubland,Water,"Wetlands, Tidal Non-forested",Water,Natural
1473,Streams and Rivers to Tidal Wetlands Forested Other,Streams and Rivers,Tidal Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1474,Streams and Rivers to Tidal Wetlands Forest,Streams and Rivers,Tidal Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1475,Streams and Rivers to Tidal Wetlands Harvested Forest,Streams and Rivers,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1480,Streams and Rivers to Cropland Barren,Streams and Rivers,Cropland,Water,Barren,Water,Cropland,Water,Agricultural
1481,Streams and Rivers to Cropland Herbaceous,Streams and Rivers,Cropland,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1485,Streams and Rivers to Pasture and Hay Barren,Streams and Rivers,Pasture and Hay,Water,Barren,Water,Pasture and Hay,Water,Agricultural
1486,Streams and Rivers to Pasture and Hay Herbaceous,Streams and Rivers,Pasture and Hay,Water,Low Vegetation,Water,Pasture and Hay,Water,Agricultural
1510,Bare Shore to Tidal Waters,Bare Shore,Tidal Waters,Barren,Water,Natural Succession,Water,Natural,Water
1511,Bare Shore to Lakes and Reservoirs,Bare Shore,Lakes and Reservoirs,Barren,Water,Natural Succession,Water,Natural,Water
1512,Bare Shore to Riverine Ponds,Bare Shore,Riverine Ponds,Barren,Water,Natural Succession,Water,Natural,Water
1520,Bare Shore to Roads,Bare Shore,Roads,Barren,Impervious Roads,Natural Succession,Impervious Roads,Natural,Developed
1521,Bare Shore to Structures,Bare Shore,Structures,Barren,Impervious Structures,Natural Succession,Impervious Structures,Natural,Developed
